,Words,Frequency,Tags
0,i,1903,VB
1,the,1628,DT
2,you,1339,PRP
3,a,1064,DT
4,to,774,TO
5,my,769,PRP$
6,me,764,PRP
7,it,660,PRP
8,in,643,IN
9,and,639,CC
10,yeah,607,VB
11,i'm,556,NN
12,on,524,IN
13,that,502,DT
14,of,391,IN
15,got,375,VBD
16,up,373,IN
17,like,360,IN
18,with,351,IN
19,don't,320,NN
20,know,310,VB
21,out,281,RP
22,be,277,VB
23,but,274,CC
24,we,272,PRP
25,your,263,PRP$
26,just,263,RB
27,all,261,DT
28,get,253,VBP
29,they,252,PRP
30,for,244,IN
31,no,242,DT
32,this,237,DT
33,when,222,WRB
34,ain't,220,VBZ
35,one,219,CD
36,it's,208,NN
37,she,205,PRP
38,go,200,VBP
39,was,198,VBD
40,so,193,RB
41,now,177,RB
42,make,172,VBP
43,if,166,IN
44,down,149,RB
45,do,145,VBP
46,too,140,RB
47,love,137,VB
48,'em,135,PRP
49,never,135,RB
50,can't,134,VBP
51,can,134,MD
52,see,128,VB
53,off,124,RP
54,is,124,VBZ
55,wanna,124,JJ
56,oh,123,RB
57,at,122,IN
58,he,118,PRP
59,say,118,VBP
60,ayy,117,RB
61,from,114,IN
62,baby,114,NN
63,let,113,VB
64,been,112,VBN
65,time,112,NN
66,la,109,VBZ
67,what,107,WP
68,her,106,PRP$
69,need,104,NN
70,tell,100,NN
71,put,99,VBD
72,back,99,RP
73,them,94,PRP
74,way,94,NN
75,'cause,93,IN
76,come,92,VBN
77,ever,91,RB
78,how,90,WRB
79,ooh,89,NN
80,could,88,MD
81,right,87,VB
82,i'll,87,NN
83,not,86,RB
84,you're,86,NNP
85,want,85,VBP
86,gotta,85,NN
87,keep,84,VB
88,had,83,VBD
89,feel,81,VBN
90,ride,81,RB
91,these,79,DT
92,night,77,NN
93,by,73,IN
94,okay,73,NN
95,through,72,IN
96,only,71,JJ
97,heart,71,NN
98,that's,68,NN
99,still,68,RB
100,shit,67,VBN
101,said,67,VBD
102,there,66,EX
103,here,66,RB
104,then,65,RB
105,done,64,VBN
106,turn,64,NN
107,girl,63,NNS
108,take,62,VBP
109,did,62,VBD
110,better,61,JJR
111,woo,61,NN
112,gon',60,VBD
113,some,60,DT
114,why,60,WRB
115,walk,59,VBP
116,every,58,DT
117,woah,58,NN
118,day,57,NN
119,hard,57,JJ
120,s,57,NN
121,have,57,VBP
122,think,57,VBN
123,'bout,55,IN
124,lil',55,NN
125,over,55,IN
126,we're,54,NN
127,niggas,53,JJ
128,money,53,NN
129,even,52,RB
130,believe,51,VBP
131,made,51,VBN
132,hope,51,NN
133,might,50,MD
134,who,49,WP
135,rich,49,VB
136,tryna,48,RB
137,good,48,JJ
138,away,48,RB
139,about,48,IN
140,him,48,PRP
141,told,47,VBD
142,always,46,RB
143,came,46,VBD
144,i'ma,45,JJ
145,big,45,JJ
146,call,45,NN
147,won't,45,NN
148,hit,45,VBD
149,uh,44,JJ
150,run,44,NN
151,would,44,MD
152,more,44,VB
153,his,43,PRP$
154,dance,43,NN
155,high,43,JJ
156,new,43,JJ
157,or,43,CC
158,bring,42,VB
159,stay,42,NN
160,nobody,42,NN
161,leave,41,VBP
162,look,41,NN
163,left,40,VBD
164,as,40,IN
165,world,40,NN
166,thing,40,NN
167,two,39,CD
168,life,39,NN
169,alone,39,RB
170,diamonds,38,VBZ
171,rhythm,38,JJ
172,give,37,VB
173,where,37,WRB
174,went,37,VBD
175,bad,37,JJ
176,pull,37,NN
177,play,36,NN
178,best,36,JJS
179,move,36,NN
180,block,35,NN
181,top,35,JJ
182,little,35,JJ
183,show,35,NN
184,real,34,JJ
185,man,34,NN
186,head,34,NN
187,ice,34,NN
188,will,34,MD
189,mind,33,VB
190,took,33,VBD
191,eyes,33,NNS
192,hold,33,VB
193,stop,33,JJ
194,trap,33,NN
195,hundred,32,VBD
196,goin',32,JJ
197,gettin',32,NN
198,am,32,VBP
199,hate,32,NN
200,what's,32,NN
201,heartless,32,NN
202,comfortable,32,JJ
203,change,31,NN
204,before,31,IN
205,everything,31,NN
206,after,31,IN
207,party,31,NN
208,try,31,NN
209,drinkin',31,NN
210,racks,31,NNS
211,full,31,JJ
212,hey,31,NN
213,are,31,VBP
214,tonight,31,JJ
215,outside,31,IN
216,glock,30,NN
217,i've,30,NN
218,around,30,IN
219,i'd,30,JJ
220,friends,30,NNS
221,ah,30,VBP
222,going,30,VBG
223,nothin',30,JJ
224,soul,30,JJ
225,stuck,30,VBN
226,lose,29,VBP
227,an,29,DT
228,gonna,29,NN
229,cold,29,VBD
230,slide,29,NN
231,last,28,JJ
232,into,28,IN
233,really,28,RB
234,again,28,RB
235,whole,28,JJ
236,let's,27,NN
237,used,27,VBN
238,much,27,RB
239,light,27,JJ
240,long,27,RB
241,you'd,27,JJ
242,gang,26,NN
243,couldn't,26,NN
244,house,26,NN
245,same,26,JJ
246,young,26,JJ
247,talk,26,NN
248,sun,26,NN
249,lonely,26,RB
250,yeah-yeah,26,JJ
251,ey,26,NN
252,'til,25,POS
253,find,25,VB
254,our,25,PRP$
255,lot,25,NN
256,should,25,MD
257,yo,25,VB
258,bed,25,NN
259,hop,25,NN
260,throw,25,NN
261,pain,25,NN
262,first,25,RB
263,feeling,25,VBG
264,other,25,JJ
265,don’t,25,JJ
266,drop,25,NN
267,watermelon,25,NN
268,sugar,25,NN
269,posted,24,VBD
270,nigga,24,JJ
271,inside,24,RB
272,hood,24,JJ
273,pop,23,NN
274,hot,23,JJ
275,us,23,PRP
276,mean,23,VBP
277,while,23,IN
278,things,23,NNS
279,something,23,NN
280,bae,23,RB
281,i’m,23,JJ
282,chasin',23,NN
283,alright,23,VBD
284,care,22,NN
285,watch,22,NN
286,boy,22,NN
287,falling,22,VBG
288,end,22,NN
289,crazy,22,NN
290,ya,22,NN
291,shawty,22,NN
292,sola,22,VBP
293,bond,21,NN
294,forget,21,NN
295,touch,21,NN
296,than,21,IN
297,straight,21,JJ
298,gave,21,VBD
299,ass,21,NN
300,maybe,21,RB
301,foot,21,JJ
302,game,20,NN
303,tried,20,VBD
304,didn't,20,JJ
305,few,20,JJ
306,we'll,20,NNS
307,sht,20,VBP
308,already,20,RB
309,paid,20,VBN
310,start,20,RB
311,face,20,VBP
312,break,20,JJ
313,home,20,NN
314,b!tch,20,NN
315,doin',20,NN
316,brrt,20,NN
317,memories,20,NNS
318,without,19,IN
319,many,19,JJ
320,heard,19,NNS
321,were,19,VBD
322,lie,19,JJ
323,gone,19,VBN
324,n!ggas,19,RB
325,someone,19,NN
326,country,19,NN
327,n!gga,19,VBD
328,happening,19,VBG
329,type,18,NN
330,guess,18,NN
331,broke,18,VBD
332,fire,18,NN
333,car,18,NN
334,three,18,CD
335,close,18,NN
336,pullin',18,NN
337,mama,18,NN
338,hoes,18,NNS
339,though,18,IN
340,those,18,DT
341,stupid,18,JJ
342,five,18,CD
343,club,18,NN
344,daisies,18,NNS
345,cause,18,NN
346,does,18,VBZ
347,huh,18,VB
348,margarita,18,VB
349,extremo,18,JJ
350,streets,17,NNS
351,codeine,17,VBP
352,myself,17,PRP
353,thousand,17,CD
354,knew,17,VBD
355,another,17,DT
356,sunday,17,JJ
357,cup,17,NN
358,felt,17,VBD
